FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
48,36,NEW YORK,NY,Clinton,36019,"Clinton County, New York",1037.75221423,81505.0,0.0,35948.0,190.0,31648.0,496.0,11865.0,1016.0,2531.0,387.0,25024.0,705.0,7522.0,613.0,12326.0,96.0,14910.0,0.0,11935.0,699.0,3399.0,425.4,8041.0,120.0,518.0,167.6,1893.0,259.3,5254.0,478.0,465.0,140.1,2761.0,366.0,7767.0,412.0,16.1,1.4,6.6,1.0,25024.0,705.0,13.6,1.1,15.1,0.1,18.3,0.0,15.5,0.9,10.7,1.3,9.9,0.1,0.7,0.2,5.3,0.7,14.6,1.3,1.5,0.4,8.7,1.1,9.5,0.5,0.7377,0.2787,0.7049,0.8197,2.541,0.7213,0.1967,0.1148,0.7869,0.918,2.0164,0.4262,0.4426,0.4098,0.8525,0.4754,0.5574,0.9016,0.377,0.4262,0.918,3.1803,0.918,8.5902,0.7541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,4279.0,542.0,5.6,0.7,85164.0
49,36,NEW YORK,NY,Hamilton,36041,"Hamilton County, New York",1717.37701799,4697.0,0.0,8776.0,57.0,1239.0,98.0,526.0,123.0,192.0,64.0,27371.0,2848.0,491.0,117.0,1254.0,7.0,740.0,8.0,941.0,137.0,48.0,21.2,215.0,92.0,39.0,56.4,26.0,14.9,830.0,85.0,22.0,22.6,61.0,24.0,118.0,47.0,11.3,2.6,9.2,2.8,27371.0,2848.0,13.7,3.2,26.7,0.2,15.8,0.2,20.2,2.9,3.9,1.7,4.6,2.0,0.9,1.2,0.3,0.2,9.5,1.0,1.8,1.8,4.9,2.0,2.5,1.0,0.1639,0.918,0.4262,0.8361,2.3443,0.6393,1.0,0.0328,1.0,0.0,2.0328,0.4426,0.0328,0.5246,0.5574,0.2787,0.0,0.623,0.5738,0.0164,0.3115,1.5246,0.0656,6.459,0.2623,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,447.0,121.0,9.6,2.6,4074.0
50,36,NEW YORK,NY,Montgomery,36057,"Montgomery County, New York",403.116639461,49667.0,0.0,23208.0,107.0,19540.0,286.0,10014.0,932.0,1992.0,235.0,23885.0,922.0,5312.0,368.0,8773.0,47.0,11332.0,16.0,7432.0,450.0,2462.0,238.6,8270.0,52.0,852.0,179.5,769.0,154.2,1717.0,184.0,350.0,96.8,2558.0,246.0,1017.0,224.0,20.6,1.9,8.4,1.0,23885.0,922.0,15.5,1.1,17.7,0.1,22.8,0.0,15.2,0.9,12.6,1.2,16.7,0.1,1.8,0.4,3.3,0.7,7.4,0.8,1.8,0.5,13.1,1.2,2.0,0.5,0.9672,0.8197,0.8689,0.9508,3.6066,0.9836,0.7377,0.8689,0.7377,0.9836,3.3279,1.0,0.623,0.7541,1.377,0.6721,0.3115,0.4918,0.5902,0.8525,0.2459,2.4918,0.459,10.8033,0.9836,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4285.0,531.0,8.8,1.1,47850.0
51,36,NEW YORK,NY,Oswego,36075,"Oswego County, New York",951.64339098,120513.0,0.0,53687.0,114.0,45374.0,551.0,21100.0,1405.0,5274.0,476.0,24284.0,556.0,10788.0,587.0,17193.0,56.0,26194.0,0.0,17638.0,803.0,5093.0,406.4,6663.0,73.0,398.0,166.8,1926.0,214.3,8557.0,480.0,957.0,197.5,3958.0,372.0,4862.0,276.0,18.3,1.2,9.1,0.8,24284.0,556.0,13.5,0.7,14.3,0.1,21.7,0.0,14.7,0.7,11.2,0.9,5.5,0.1,0.3,0.1,3.6,0.4,15.9,0.9,2.1,0.4,8.7,0.8,4.0,0.2,0.8852,0.9016,0.8361,0.8033,3.4262,0.9344,0.0984,0.6885,0.623,0.9672,2.377,0.6885,0.1311,0.082,0.2131,0.0328,0.4262,0.9508,0.7049,0.4262,0.541,3.0492,0.8197,9.0656,0.8361,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,8454.0,915.0,7.1,0.8,109106.0
52,36,NEW YORK,NY,Richmond,36085,"Richmond County, New York",58.1759887345,473324.0,0.0,178603.0,225.0,166014.0,876.0,60530.0,2913.0,13876.0,728.0,32678.0,440.0,36063.0,1239.0,68807.0,91.0,105828.0,17.0,46943.0,1444.0,13867.0,919.9,176986.0,503.0,20673.0,1189.8,20056.0,733.9,458.0,117.0,6351.0,571.7,28967.0,959.0,6809.0,555.0,12.9,0.6,6.2,0.3,32678.0,440.0,11.1,0.4,14.5,0.1,22.4,0.0,10.0,0.3,8.4,0.6,37.4,0.1,4.6,0.3,11.2,0.4,0.3,0.1,3.8,0.3,17.4,0.6,1.4,0.1,0.3443,0.2459,0.1639,0.541,1.2951,0.2459,0.1311,0.8361,0.1148,0.3934,1.4754,0.2623,0.9016,0.8852,1.7869,0.8852,0.8525,0.0984,0.9016,0.9344,0.0984,2.8852,0.6885,7.4426,0.5082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,31087.0,1677.0,6.6,0.4,384689.0
53,36,NEW YORK,NY,Rockland,36087,"Rockland County, New York",173.448377521,322642.0,0.0,104651.0,212.0,99038.0,598.0,46128.0,2837.0,11124.0,688.0,35557.0,731.0,25868.0,1289.0,47962.0,43.0,89382.0,29.0,30129.0,840.0,6963.0,563.7,117457.0,334.0,24335.0,1303.7,12280.0,626.2,1302.0,273.0,6319.0,482.5,10535.0,662.0,6955.0,592.0,14.5,0.9,7.0,0.4,35557.0,731.0,12.7,0.6,14.9,0.1,27.7,0.0,9.4,0.3,7.0,0.6,36.4,0.1,8.2,0.4,11.7,0.6,1.2,0.3,6.4,0.5,10.6,0.7,2.2,0.2,0.5246,0.4262,0.0984,0.7377,1.7869,0.459,0.1475,1.0,0.0492,0.1148,1.3115,0.1475,0.8852,0.9344,1.8197,0.918,0.8852,0.1967,0.9508,0.7049,0.2787,3.0164,0.7705,7.9344,0.6557,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,25208.0,1723.0,7.9,0.5,299952.0
54,36,NEW YORK,NY,St. Lawrence,36089,"St. Lawrence County, New York",2679.26184328,111529.0,0.0,52272.0,275.0,41466.0,537.0,19107.0,1572.0,4907.0,463.0,23313.0,775.0,8562.0,495.0,17157.0,58.0,22932.0,0.0,17208.0,707.0,4346.0,421.4,8800.0,74.0,1065.0,212.2,2510.0,287.6,5951.0,473.0,690.0,144.5,4311.0,333.0,11806.0,642.0,19.2,1.5,10.0,0.9,23313.0,775.0,11.9,0.7,15.4,0.1,20.6,0.0,15.9,0.6,10.5,1.0,7.9,0.1,1.0,0.2,4.8,0.5,11.4,0.9,1.7,0.3,10.4,0.8,10.6,0.6,0.9016,0.9508,0.9344,0.6393,3.4262,0.9344,0.2951,0.4754,0.8689,0.8689,2.5082,0.8197,0.2787,0.5738,0.8525,0.459,0.5082,0.7541,0.541,0.6721,0.9672,3.4426,0.9836,10.2295,0.9508,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,9312.0,946.0,8.6,0.9,111895.0
55,36,NEW YORK,NY,Tompkins,36109,"Tompkins County, New York",474.648761244,104268.0,0.0,42118.0,258.0,38269.0,508.0,18133.0,1050.0,2812.0,337.0,28888.0,841.0,3279.0,391.0,12696.0,127.0,15978.0,0.0,9462.0,700.0,2879.0,372.4,23162.0,155.0,929.0,316.5,5190.0,466.6,3604.0,360.0,636.0,203.8,5615.0,536.0,13786.0,592.0,20.1,1.2,5.4,0.6,28888.0,841.0,5.5,0.7,12.2,0.1,15.3,0.0,9.2,0.7,7.5,1.0,22.2,0.1,0.9,0.3,12.3,1.1,8.6,0.9,1.7,0.5,14.7,1.4,13.2,0.6,0.9508,0.0656,0.3443,0.0,1.3607,0.2787,0.0164,0.0164,0.0328,0.2459,0.3115,0.0164,0.7213,0.5574,1.2787,0.6557,0.918,0.5738,0.5246,0.918,1.0,3.9344,1.0,6.8852,0.3443,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,5449.0,973.0,5.3,0.9,124479.0
56,36,NEW YORK,NY,Franklin,36033,"Franklin County, New York",1629.20854057,51007.0,0.0,25324.0,215.0,19299.0,406.0,8706.0,807.0,1882.0,271.0,23660.0,838.0,5241.0,441.0,7615.0,124.0,10099.0,0.0,6926.0,508.0,2144.0,267.9,9188.0,34.0,346.0,108.7,840.0,160.6,3099.0,310.0,284.0,116.3,1970.0,258.0,5996.0,489.0,19.2,1.8,8.5,1.2,23660.0,838.0,14.6,1.2,14.9,0.2,19.8,0.0,15.0,1.1,11.1,1.4,18.0,0.1,0.7,0.2,3.3,0.6,12.2,1.2,1.5,0.6,10.2,1.3,11.8,1.0,0.9016,0.8361,0.9016,0.918,3.5574,0.9672,0.1475,0.3115,0.6557,0.9508,2.0656,0.4918,0.6721,0.459,1.1311,0.5902,0.3279,0.7869,0.4098,0.6393,0.9836,3.1475,0.8852,9.9016,0.918,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4040.0,672.0,8.7,1.4,51004.0
57,36,NEW YORK,NY,New York,36061,"New York County, New York",22.6554325371,1634989.0,0.0,866644.0,921.0,753385.0,3789.0,279847.0,7308.0,65859.0,2518.0,66522.0,846.0,160845.0,3558.0,235172.0,35.0,239355.0,48.0,160552.0,3308.0,44390.0,1719.0,865391.0,808.0,144635.0,3972.3,776506.0,3480.9,624.0,221.0,41092.0,1927.7,582100.0,4330.0,60301.0,1687.0,17.6,0.5,6.9,0.3,66522.0,846.0,13.0,0.3,14.4,0.1,14.6,0.0,9.9,0.2,5.9,0.2,52.9,0.0,9.3,0.3,89.6,0.4,0.1,0.1,5.5,0.3,77.3,0.4,3.7,0.1,0.8689,0.3607,0.0,0.7541,1.9836,0.5082,0.1148,0.0,0.0984,0.0492,0.2623,0.0,0.9508,0.9508,1.9016,0.9508,1.0,0.0,0.9344,1.0,0.4754,3.4098,0.9672,7.5574,0.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,122742.0,4109.0,7.6,0.3,3478691.0
58,36,NEW YORK,NY,Westchester,36119,"Westchester County, New York",430.515833525,969229.0,0.0,369925.0,393.0,341762.0,1372.0,92600.0,3775.0,35720.0,1319.0,49938.0,604.0,81981.0,2446.0,151654.0,56.0,222372.0,43.0,87375.0,1661.0,28469.0,1069.0,436659.0,419.0,59541.0,2102.6,102582.0,1526.0,622.0,151.0,14560.0,861.5,49680.0,1540.0,26450.0,964.0,9.8,0.4,7.1,0.3,49938.0,604.0,12.4,0.4,15.6,0.1,22.9,0.0,9.1,0.2,8.3,0.3,45.1,0.0,6.5,0.2,27.7,0.4,0.2,0.1,4.3,0.3,14.5,0.4,2.7,0.1,0.082,0.4754,0.0164,0.7049,1.2787,0.2295,0.3607,0.8852,0.0164,0.377,1.6393,0.3115,0.9344,0.918,1.8525,0.9344,0.9344,0.0492,0.918,0.9016,0.3443,3.1475,0.8689,7.918,0.6393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,85069.0,2675.0,8.9,0.3,983174.0
59,36,NEW YORK,NY,Queens,36081,"Queens County, New York",108.768046154,2310011.0,0.0,846689.0,504.0,779304.0,1834.0,334149.0,6044.0,94271.0,1970.0,27631.0,175.0,315505.0,3673.0,315853.0,167.0,472878.0,0.0,219943.0,2849.0,65524.0,1626.2,1717860.0,1184.0,327560.0,4570.2,293412.0,2433.5,1353.0,253.0,73486.0,1834.8,291980.0,2582.0,27473.0,1112.0,14.6,0.3,7.8,0.2,27631.0,175.0,19.3,0.2,13.7,0.1,20.5,0.0,9.6,0.1,8.4,0.2,74.4,0.1,15.1,0.2,34.7,0.3,0.2,0.1,9.4,0.2,37.5,0.3,1.2,0.0,0.541,0.6885,0.3934,0.9672,2.5902,0.7377,0.082,0.4262,0.082,0.4098,1.0,0.0656,0.9836,0.9836,1.9672,0.9836,0.9508,0.0492,0.9672,0.9508,0.0164,2.9344,0.7213,8.4918,0.7213,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,6.0,318878.0,5109.0,13.9,0.2,1892984.0
60,36,NEW YORK,NY,Kings,36047,"Kings County, New York",69.8126331283,2606852.0,0.0,1021747.0,720.0,938803.0,2477.0,587518.0,8129.0,117928.0,2449.0,28134.0,211.0,351046.0,4216.0,317575.0,38.0,608369.0,0.0,262674.0,3340.0,99539.0,2036.5,1672867.0,847.0,302816.0,4031.3,409056.0,2618.1,1434.0,261.0,100535.0,2195.1,524414.0,2826.0,40035.0,1878.0,22.7,0.3,9.0,0.2,28134.0,211.0,20.0,0.2,12.2,0.1,23.3,0.0,10.1,0.1,10.6,0.2,64.2,0.0,12.5,0.2,40.0,0.3,0.1,0.1,10.7,0.2,55.9,0.3,1.5,0.1,0.9836,0.8852,0.377,0.9836,3.2295,0.918,0.0164,0.918,0.1311,0.9016,1.9672,0.3934,0.9672,0.9672,1.9344,0.9672,0.9672,0.0,0.9836,0.9672,0.1311,3.0492,0.7869,10.1803,0.9344,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,9.0,278545.0,4977.0,10.7,0.2,2179094.0
61,36,NEW YORK,NY,Bronx,36005,"Bronx County, New York",42.0506240334,1436785.0,0.0,522401.0,491.0,490740.0,1515.0,427715.0,6791.0,83538.0,2214.0,18896.0,169.0,261022.0,3483.0,161923.0,83.0,367431.0,88.0,195430.0,3341.0,98232.0,1867.7,1298884.0,441.0,210717.0,3595.0,353265.0,1919.5,636.0,158.0,60015.0,1594.9,288770.0,2387.0,42190.0,1261.0,30.5,0.5,12.7,0.3,18896.0,169.0,28.8,0.4,11.3,0.1,25.6,0.0,13.8,0.2,20.0,0.4,90.4,0.0,15.9,0.3,67.6,0.4,0.1,0.1,12.2,0.3,58.8,0.4,2.9,0.1,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.9672,0.5082,1.0,2.4754,0.7869,1.0,1.0,2.0,1.0,0.9836,0.0,1.0,0.9836,0.377,3.3443,0.9508,11.8197,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,11.0,174043.0,4230.0,12.3,0.3,1197886.0
