FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
38,36,NEW YORK,NY,Chautauqua,36013,"Chautauqua County, New York",1060.22602516,131748.0,0.0,66722.0,201.0,52718.0,676.0,24410.0,1418.0,4861.0,405.0,23249.0,470.0,10646.0,501.0,23776.0,55.0,27554.0,0.0,19890.0,814.0,5088.0,383.5,15779.0,74.0,1676.0,292.1,3016.0,332.5,4423.0,291.0,801.0,151.6,5495.0,389.0,6285.0,410.0,19.4,1.1,7.9,0.6,23249.0,470.0,11.8,0.6,18.0,0.1,20.9,0.0,15.4,0.6,9.7,0.7,12.0,0.1,1.3,0.2,4.5,0.5,6.6,0.4,1.5,0.3,10.4,0.7,4.8,0.3,0.9344,0.7213,0.9508,0.6066,3.2131,0.9016,0.8033,0.541,0.7541,0.7377,2.8361,0.9016,0.4918,0.6557,1.1475,0.623,0.4918,0.4098,0.4754,0.6721,0.5738,2.623,0.5246,9.8197,0.8852,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9095.0,629.0,7.0,0.5,132798.0
39,36,NEW YORK,NY,Chenango,36017,"Chenango County, New York",893.586103514,49286.0,0.0,24817.0,82.0,19837.0,355.0,7468.0,640.0,1592.0,222.0,23805.0,516.0,4545.0,331.0,9284.0,49.0,10528.0,0.0,8909.0,448.0,1704.0,215.0,2454.0,12.0,252.0,104.6,563.0,99.0,5236.0,248.0,429.0,109.2,1401.0,172.0,661.0,136.0,15.4,1.3,7.0,1.0,23805.0,516.0,13.1,1.0,18.8,0.1,21.4,0.0,18.3,0.9,8.6,1.1,5.0,0.0,0.5,0.2,2.3,0.4,21.1,1.0,2.2,0.5,7.1,0.9,1.3,0.3,0.6721,0.4262,0.8852,0.7705,2.7541,0.7869,0.8689,0.623,0.9836,0.4754,2.9508,0.9508,0.082,0.2623,0.3443,0.1148,0.0984,1.0,0.7213,0.1967,0.0656,2.082,0.2459,8.1311,0.6885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3355.0,465.0,6.9,0.9,44984.0
40,36,NEW YORK,NY,Delaware,36025,"Delaware County, New York",1442.45891131,46480.0,0.0,31158.0,123.0,18817.0,450.0,6987.0,830.0,1792.0,298.0,24753.0,838.0,4024.0,395.0,10234.0,70.0,8431.0,35.0,7616.0,493.0,1587.0,229.2,3439.0,23.0,337.0,121.1,678.0,125.7,3891.0,345.0,677.0,173.5,1880.0,252.0,2424.0,247.0,15.9,1.9,8.3,1.3,24753.0,838.0,12.2,1.2,22.0,0.1,18.1,0.1,16.6,1.1,8.4,1.2,7.4,0.0,0.8,0.3,2.2,0.4,12.5,1.1,3.6,0.9,10.0,1.3,5.2,0.5,0.7049,0.8033,0.7541,0.6885,2.9508,0.8033,0.9836,0.0984,0.918,0.4262,2.4262,0.7377,0.2623,0.4918,0.7541,0.3934,0.0492,0.8197,0.8689,0.5574,0.6393,2.9344,0.7049,9.0656,0.8197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3682.0,537.0,8.0,1.2,43880.0
41,36,NEW YORK,NY,Essex,36031,"Essex County, New York",1794.11330245,38598.0,0.0,25756.0,166.0,15298.0,398.0,3638.0,431.0,1416.0,257.0,28155.0,1272.0,3031.0,293.0,8138.0,39.0,6626.0,131.0,6104.0,433.0,1132.0,203.4,3069.0,50.0,220.0,124.2,743.0,183.5,1716.0,202.0,344.0,117.8,1249.0,200.0,2772.0,395.0,10.1,1.2,7.5,1.4,28155.0,1272.0,10.4,1.0,21.1,0.1,17.2,0.3,16.8,1.2,7.4,1.3,8.0,0.1,0.6,0.3,2.9,0.7,6.7,0.8,2.2,0.8,8.2,1.3,7.2,1.0,0.0984,0.623,0.3607,0.4426,1.5246,0.3607,0.9672,0.0656,0.9344,0.2131,2.1803,0.5574,0.2951,0.3443,0.6393,0.3443,0.2459,0.4426,0.7541,0.377,0.8033,2.623,0.541,6.9672,0.3934,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2477.0,350.0,6.8,0.9,37058.0
42,36,NEW YORK,NY,Jefferson,36045,"Jefferson County, New York",1268.69752089,117966.0,0.0,58728.0,243.0,43428.0,603.0,16236.0,1207.0,4678.0,410.0,24172.0,524.0,7231.0,566.0,14359.0,80.0,29200.0,21.0,14277.0,686.0,4509.0,424.2,20602.0,63.0,660.0,183.1,3443.0,313.1,7491.0,441.0,942.0,254.0,3603.0,397.0,6372.0,626.0,14.6,1.1,9.4,0.8,24172.0,524.0,9.8,0.8,12.2,0.1,24.8,0.0,13.5,0.6,10.4,1.0,17.5,0.1,0.6,0.2,5.9,0.5,12.8,0.8,2.2,0.6,8.3,0.9,5.4,0.5,0.541,0.9344,0.8525,0.2623,2.5902,0.7377,0.0164,0.9508,0.4262,0.8525,2.2459,0.623,0.6557,0.377,1.0328,0.541,0.6393,0.8361,0.7377,0.3934,0.6721,3.2787,0.9344,9.1475,0.8525,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8233.0,936.0,7.8,0.9,113071.0
43,36,NEW YORK,NY,Nassau,36059,"Nassau County, New York",284.807778909,1356801.0,0.0,467127.0,325.0,440230.0,1334.0,80282.0,3033.0,41435.0,1392.0,44548.0,377.0,85267.0,2201.0,222629.0,81.0,300415.0,0.0,112830.0,2112.0,26351.0,1114.4,512878.0,830.0,72354.0,2260.0,49253.0,1260.2,829.0,199.0,11110.0,717.6,33388.0,1041.0,20378.0,802.0,6.0,0.2,5.8,0.2,44548.0,377.0,9.1,0.2,16.4,0.1,22.1,0.0,8.4,0.2,6.0,0.3,37.8,0.1,5.6,0.2,10.5,0.3,0.2,0.1,2.5,0.2,7.6,0.2,1.5,0.1,0.0164,0.1639,0.0328,0.1148,0.3279,0.0328,0.459,0.7705,0.0,0.0656,1.2951,0.1311,0.918,0.9016,1.8197,0.9016,0.8361,0.0492,0.8033,0.2787,0.1148,2.082,0.2787,5.5246,0.1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88422.0,3260.0,6.6,0.2,1361325.0
44,36,NEW YORK,NY,Orleans,36073,"Orleans County, New York",391.262967133,41938.0,0.0,18509.0,565.0,16132.0,641.0,6089.0,758.0,1445.0,228.0,23332.0,817.0,4061.0,322.0,6801.0,127.0,8489.0,58.0,6683.0,459.0,1460.0,222.6,5569.0,26.0,176.0,102.6,476.0,155.7,1908.0,249.0,324.0,165.5,1255.0,226.0,3147.0,331.0,15.6,1.9,7.4,1.2,23332.0,817.0,13.7,1.1,16.2,0.3,20.2,0.1,17.1,1.2,9.1,1.3,13.3,0.1,0.4,0.3,2.6,0.8,10.3,1.3,2.0,1.0,7.8,1.4,7.5,0.8,0.6885,0.5738,0.918,0.8361,3.0164,0.8361,0.4426,0.3607,0.9672,0.623,2.3934,0.7213,0.5246,0.1148,0.6393,0.3279,0.1475,0.7213,0.6721,0.3443,0.8525,2.7377,0.5902,8.7869,0.7869,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2999.0,508.0,7.7,1.3,37794.0
45,36,NEW YORK,NY,Schuyler,36097,"Schuyler County, New York",328.333075515,18336.0,0.0,9544.0,52.0,7376.0,246.0,2617.0,351.0,645.0,186.0,25004.0,1508.0,1326.0,147.0,3550.0,37.0,3630.0,40.0,2829.0,247.0,490.0,95.6,855.0,5.0,16.0,67.7,249.0,48.8,1973.0,204.0,143.0,57.1,448.0,98.0,339.0,74.0,14.6,2.0,7.3,2.1,25004.0,1508.0,10.0,1.1,19.4,0.2,19.8,0.2,15.7,1.4,6.6,1.3,4.7,0.0,0.1,0.4,2.6,0.5,20.7,2.1,1.9,0.8,6.1,1.3,1.8,0.4,0.541,0.541,0.7213,0.3934,2.1967,0.5574,0.9016,0.2951,0.8525,0.0984,2.1475,0.5246,0.0492,0.0,0.0492,0.0,0.1803,0.9836,0.6393,0.082,0.1639,2.0492,0.2295,6.4426,0.2459,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1542.0,256.0,8.5,1.4,14802.0
46,36,NEW YORK,NY,Yates,36123,"Yates County, New York",338.142604936,25106.0,0.0,13729.0,116.0,9532.0,262.0,3319.0,530.0,876.0,163.0,26001.0,1339.0,2436.0,274.0,4577.0,43.0,5761.0,0.0,3211.0,305.0,785.0,139.5,1182.0,35.0,311.0,110.9,387.0,96.0,1368.0,172.0,240.0,71.0,1298.0,174.0,1294.0,238.0,13.9,2.2,7.2,1.3,26001.0,1339.0,14.8,1.7,18.2,0.2,22.9,0.0,13.0,1.2,8.2,1.4,4.7,0.1,1.3,0.5,2.8,0.7,10.0,1.2,2.5,0.7,13.6,1.8,5.2,0.9,0.459,0.5246,0.5902,0.9344,2.5082,0.6885,0.8197,0.9016,0.2951,0.3607,2.377,0.6885,0.0656,0.6393,0.7049,0.377,0.1967,0.6885,0.7869,0.8852,0.6066,3.1639,0.9016,8.7541,0.7705,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5232.0,549.0,21.1,2.2,21594.0
47,36,NEW YORK,NY,Allegany,36003,"Allegany County, New York",1029.29973759,47700.0,0.0,25991.0,166.0,18032.0,295.0,7284.0,623.0,1786.0,179.0,21478.0,544.0,3335.0,313.0,8010.0,37.0,9758.0,87.0,7326.0,351.0,1612.0,164.3,2584.0,40.0,279.0,100.1,575.0,111.3,3879.0,218.0,378.0,97.8,1663.0,204.0,4990.0,371.0,17.1,1.4,8.1,0.8,21478.0,544.0,11.0,1.0,16.8,0.1,20.5,0.2,15.5,0.7,8.9,0.9,5.4,0.1,0.6,0.2,2.2,0.4,14.9,0.8,2.1,0.5,9.2,1.1,10.5,0.8,0.8033,0.7705,0.9836,0.5082,3.0656,0.8689,0.541,0.4098,0.7869,0.5574,2.2951,0.6393,0.1148,0.3934,0.5082,0.1967,0.082,0.918,0.6885,0.4754,0.9508,3.1148,0.8525,8.9836,0.8033,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,4155.0,578.0,8.8,1.2,46043.0
